EudraCT Number,Sponsor Name,Full Title,Medical Condition,Start Date
2008-006649-18,University College London,"CMV TCR Gene Therapy: A Phase I Safety, Toxicity and Feasibility Study of Adoptive Immunotherapy with CMV TCR-transduced Donor-derived T cells for Recipients of Allogeneic Haematopoietic Stem Cell ...","CMV reactivation/infection in post allogeneic haematopoietic stem cell transplant recipients. Allo-HSCT being performed for underlying haematological malignancy (eg, AML, ALL, NHL, Hodgkin Lymphoma...",2011-11-16
2008-004874-42,Institut für Frauengesundheit GmbH,"Evaluation of predictive Factors for the Effectivity of Aromatase Inhibitor Therapy - Offene, prospektive, multizentrische Phase IV-Studie zur Untersuchung des Einflusses von pharmakogenetischen M...","The study examines the influence of pharmacogenetic markers on the efficacy and side effects in postmenopausal, steroid hormone positive breast cancer patients, who are treated with Letrozol. The p...",2009-02-06
2008-002768-32,Freistaat Bayern,"A prospective phase I/II, one-arm, one-stage multi-center, open label study of lenalidomide in combination with pioglitazone, dexamethasone and metronomic low-dose chemotherapy with treosulfan in p...",Multiple myeloma,2009-06-08
2010-022400-53,Køge Hospital,Intracoronary administration of melatonin for patients with acute myocardial infarction: a placebo controlled randomized study.,Acute Myocardial Infarction,2011-01-13
2008-003174-18,Universitätsklinikum Heidelberg,"Open-labeled, randomized multi-center phase II study evaluating the efficacy and safety of Paclitaxel/ Carboplatin with and without Cetuximab as first-line treatment of adeno- and undifferentiated ...",adeno- and undifferentiated Carcinoma of Unknown Primary (CUP),2009-12-18
2006-001095-21,Sanofi Pasteur Inc.,"Immunogenicity and Safety of PEDIACEL®, a Combined Diphtheria, Tetanus, Five Component Acellular Pertussis, Inactivated Poliomyelitis and Haemophilus influenzae Type b Conjugate Vaccine (Adsorbed),...","Pertussis, adsorbed diphtheria and tetanus toxoids, inactivated poliomyelitis and polysaccharide of H. influenza type b bound to tetanus toxoid",2016-04-19
2006-000653-22,Moorfields Eye Hospital,The UK Glaucoma Treatment Study,Primary open-angle Glaucoma Pseudoexfoliation Glaucoma,2006-07-26
2008-000581-23,Novartis Pharma AG,"A randomized, double-masked, placebo-controlled add on study to assess the efficacy of oral aliskiren 300 mg once daily for diabetic macular edema",Diabetic Macular Edema (DME) in hypertensive patients,2008-07-28
2007-001058-16,PIERRE FABRE MEDICAMENT,A PHASE II DOUBLE-BLIND VEHICLE-CONTROLLED CROSSOVER SINGLE DOSE (400 µG) V0147 GEL EFFECT AND TOLERANCE STUDY IN SPINAL CORD INJURED PATIENTS WITH ERECTILE DYSFUNCTION,Erectile dysfunction,2007-04-30
2008-007225-39,University Hospitals Leuven,A 2 year prospective multicentre randomised controlled trial comparing effectiveness in daily practice of different treatment strategies for early RA,"early active Rheumatoid Arthritis, previously untreated with DMARDS",2009-01-06
2010-023062-40,"Medivation, Inc.","A Phase 1/2, First in Human, Single-arm, Open-label Study of Once a Day, Orally Administered Talazoparib (BMN 673) in Patients with Advanced or Recurrent Solid Tumors",Advanced or recurrent solid tumors for which there is no accepted standard treatment or for which standard treatment has failed. Patients may also be eligible if they are unable or decline to unde...,2011-04-19
2009-016877-14,COPSAC,H1N1v Vaccination of Pregnant Women: A Longitudinal Cohort Study Characterizing Influenza A-H1N1v Vaccination in Pregnant Women,Protection against Influenza A H1N1v disease,2009-11-04
2011-002044-28,Shire Human Genetics Therapies Inc,"A Phase I/II, Multicenter, Open-label, Dose Escalation Study of HGT-1110 Administered Intrathecally in Children with Metachromatic Leukodystrophy",Treatment of Metachromatic Leukodystrophy,2012-06-14
2013-001048-73,Bayer AG,"A Prospective, Randomized, Double-Blind, Placebo-Controlled, Multicenter Study to Evaluate the Safety and Efficacy of BAY 41-6551 as Adjunctive Therapy in Intubated and Mechanically-Ventilated Pati...",Gram-negative pneumonia,2013-07-25
2012-001650-26,"Ruprecht-Karls-University Heidelberg, Med Faculty represented by Universitätsklinikum Heidelberg and its Commercial D","A randomised, placebo-controlled, double-blind, monocentre study on the application of physostigminsalicylate (Anticholium®) as adjunctive measure in perioperative sepsis/septic shock",,2014-04-28
2012-000447-27,"Universitätsklinikum Schleswig-Holstein, Campus Kiel",Open Label Study for the Functional Characterization of Drug Metabolism and Transport in patients before routine visceral surgery,"Pharmacokinetic trial in patients, with a good general condition before standard abdominal surgery",2012-07-25
2012-000449-11,Eero Pesonen,Heparin dose (300 IU/kg vs. 600 IU/kg) in coroanry artery bypass grafting,Patients undergoing elective coronary artery bypass grafting,2012-03-01
2011-005066-38,Novartis Pharmaceuticals UK Ltd,"A UK open-label, multicentre, exploratory Phase II study of INC424 for patients with primary myelofibrosis (PMF) or post polycythemia myelofibrosis (PPV MF) or post-essential thrombocythemia myelof...","primary myelofibrosis (PMF), post polycythemia vera myelofibrosis (PPV MF) or Post essential thrombocythemia myelofibrosis (PET-MF)",2012-03-09
2011-005082-21,University of Cologne,Targeted BEACOPP variants in patients with newly diagnosed advanced classical Hodgkin Lymphoma,newly diagnosed advanced classical Hodgkin Lymphoma,2012-09-25
2012-004439-22,Novartis Pharma Services AG,"A Phase III randomized, double-blind, placebo-controlled multicenter study of subcutaneous secukinumab in prefilled syringes to demonstrate the efficacy at 24 weeks and to assess the long term effi...",Psoriatic arthritis,2013-04-08
2012-002786-35,University College London,A randomised double-blind controlled phase III study to compare the efficacy and safety of intravenous ferric carboxymaltose with placebo in patients with anaemia undergoing major open abdominal su...,Anaemia,2012-11-05
2012-005629-65,University of Birmingham,Management of Transformed Chronic myeloid leukaemia: Ponatinib and Intensive chemotherapy: a dose finding study,Chronic Myeloid Leukaemia (CML) in Blast Phase,2014-01-15
2012-003741-15,apceth GmbH & Co. KG,"Treatment of Advanced Gastrointestinal Cancer in a Phase I/II trial with modified autologous MSC_apceth_101. Open-label, multicentre, phase I/II.","Patients suffering from advanced, recurrent or metastatic gastrointestinal adenocarcinoma.",2013-06-27
2011-001795-19,University of Cologne,STATIN RECAPTURE THERAPY BEFORE CORONARY ARTERY BYPASS GRAFTING (ACRONYM: START-CABG TRIAL),Patients on a long term statin therapy with established coronary artery disease (CAD) scheduled for isolated surgical myocardial revascularisation (i.e. CABG),2012-09-13
2012-000309-60,Göteborgs universitet,Biochemical and neuropsychological effects on Premenstrual Dysphoric Disorder after acute administration of escitalopram,Premenstrual Dysphoric Disorder,2016-03-30
2013-001722-25,VU University Medical Center,Cholinesterase inhibitors to slow progression of visual hallucinations in Parkinson’s disease: a multi-center placebo-controlled trial (CHEVAL),Parkinson's disease,2013-08-27
2012-001144-22,ROCHE SAS,"A RANDOMIZED, OPEN-LABEL, PHASE II STUDY ASSESSING THE EFFICACY AND THE SAFETY OF BEVACIZUMAB IN NEOADJUVANT THERAPY IN PATIENTS WITH FIGO STAGE IIIC/IV OVARIAN, TUBAL OR PERITONEAL ADENOCARCINOMA,...",Epithelial ovarian cancer Fallopian tube carcinoma Primary peritoneal carcinoma,2012-07-03
2013-002226-23,"University of Bergen, Department of Global Public Health and Primary Care",Efficacy of Pain Treatment on Depression in Patients with Dementia. A Randomized Clinical Trial of Efficacy,Depression Pain Dementia,Information not available in EudraCT
2011-004368-31,Eli Lilly and Company,"A 12-Week Multicenter, Randomized, Double-Blind, Placebo Controlled Study Comparing the Efficacy and Safety of LY2439821 to Etanercept and Placebo in Patients with Moderate to Severe Plaque Psorias...",Moderate to severe plaque psoriasis,2012-09-13
2011-005279-18,University of Birmingham,A RandoMised study of best Available therapy versus JAK Inhibition in patients with high risk Polycythaemia Vera or Essential Thrombocythaemia who are resistant or intolerant to HydroxyCarbamide.,Polycythaemia vera Essential Thrombocythaemia,2012-02-08
2009-014922-40,Erasmus MC,Carfilzomib in combination with Thalidomide and Dexamethasone for remission induction and consolidation of Multiple Myeloma at first presentation,Multiple myeloma at first presentation,2010-07-07
2009-015316-17,Oslo Universitetssykehus - Rikshospitalet,Perioperativ administrasjon av pregabalin ved laparoskopisk living donor nefrektomi (L-LDN) - et adjuvans til peroral analgetisk behandling - en randomisert kontrollert studie,Hensikten med studien er å undersøke om perioperativ administrasjon av pregabalin vil redusere postoperativ smerte og forbruket av intravenøse opioider postoperativt sammenliknet med dagens standar...,2017-11-17
2011-004187-30,Avraham Pharmaceuticals Ltd.,"A 36-month, multi-centre, randomized double-blind placebo-controlled study to evaluate the safety and efficacy of low dose Ladostigil in patients with Mild Cognitive Impairment (MCI)",Patient with Mild Cognitive Impairment,2011-12-14
2013-003785-14,Novartis Pharma Services AG,A Phase I/II Study to Assess the Safety and Efficacy of Pazopanib and MK-3475 in Subjects with Advanced Renal Cell Carcinoma,Renal Cell Carcinoma,2014-03-03
2013-002505-62,Sheffield Teaching Hospitals NHS Foundation Trust,SarCaBon: A randomised phase II trial of Saracatinib versus placebo for cancer-induced bone pain,Cancer-induced bone pain,2013-11-14
2013-002539-13,University Medical Center Freiburg,Multicenter randomized double masked parallel design exploratory study to assess safety and efficacy of two different doses of intravitreal anti-VEGF treatment with ranibizumab (0.12 mg vs. 0.20 mg...,retinopathy of prematurity,2014-04-01
2013-003481-14,National Institute of Diabetes and Digestive and Kidney Diseases,Study of allopurinol to prevent GFR loss in type 1 diabetes,"Type 1 diabetes, microalbuminuria or macroalbuminuria and mildly impaired kidney function.",2014-03-07
2013-003488-71,University of Oxford,A pilot study of the impact of BCG administration on the immunogenicity of serogroup C meningococcal conjugate vaccine in healthy infants,Vaccine responses,2013-12-12
2013-004108-20,Radboud University Nijmegen Medical Centre,Improving the tolerability of the oral targeted anti-cancer drug pazopanib by food intake (DIET),Patients who are treated or will be treated with pazopanib.,2014-03-17
2011-003025-10,King's College London [...],Effect of active vitamin-D treatment on left ventricular hypertrophy in patients with type-2 diabetes and stage-3 chronic kidney disease.,"Left ventricular hypertrophy, type 2 diabetes, chronic kidney disease.",2011-11-08
2010-020841-29,King`s College London [...],The role of anti-IgE (omalizumab) in the management of severe recalcitrant paediatric atopic eczema,Severe eczema in children,2011-07-07
2011-000919-22,University of Liverpool [...],RIAltO: A Randomised Investigation of Alternative Ofatumumab-containing regimens in less fit patients with CLL,Chronic Lymphocytic Leukaemia,2011-09-14
2011-004735-32,SOTIO a.s.,"Randomized, open-label, parallel-group, multi-centre phase II clinical trial with active cellular immunotherapy DCVAC/PCa in patients with castrate-resistant prostate cancer",metastatic castrate-resistant prostate cancer,2012-01-11
2010-023878-40,Medical University Vienna,"Influence of intra-arterial cerebral Papaverine Hydrochloride on cerebral glucose, lactate, pyruvate, glycerol, and glutamate concentrations, cerebral oxygenation, angiographic vasospasm, delayed s...","To demonstrate the influence of intra-arterial cerebral Papaverine Hydrochloride on cerebral glucose, lactate, pyruvate, glycerol, and glutamate concentrations and cerebral oxygenation in patients ...",2011-12-22
2011-003254-90,Novartis Pharma Services AG,"A randomised, active-controlled, open-label, multiple-dose, proof-of-concept study of intravitreal LFG316 in patients with active non-infectious intermediate-, posterior-, or panuveitis requiring s...","Active non-infectious intermediate-, posterior-, or panuveitis requiring systemic immunosuppressive therapy",2012-05-14
2012-003023-38,Friedrich-Schiller-Universität Jena,"Phase II study of Bortezomib, Melphalan, Prednisone (VMP) followed by Lenalidomide maintenance vs. VMP without maintenance in Myeloma patients not eligible to high-dose chemotherapy and autologous ...",multiple myeloma,2013-10-30
2012-000756-34,NeuroVive Pharmaceutical AB,"Copenhagen Head Injury Ciclosporin (CHIC) Study: An open-label, uncontrolled Phase II -study to investigate pharmacokinetics, safety and biomarkers of effectiveness of NeuroSTAT® (ciclosporin) i...",Severe Traumatic Brain Injury,2012-11-02
2013-003301-26,Newcastle Upon Tyne Hospitals NHS Foundation Trust,A randomised placebo-controlled pilot trial of omeprazole in idiopathic pulmonary fibrosis (IPF),Idiopathic Pulmonary Fibrosis (IPF),2013-09-20
2013-004787-62,"SOD Anestesia e Terapia Intensiva, DAI Oncologia, AOU Careggi, Firenze",Evaluation of muscle function recovery after deep neuromuscular blockade by acceleromyography of the adductor pollicis or diaphragmatic echography: comparison between sugammadex and neostigmine,Muscle function recovery post neuromuscoular blockade,2014-11-26
2014-003644-12,"Neuromuscular Research Unit, Rigshospitalet",The effect of Triheptanoin in adults with McArdle Disease (Glycogen Storage Disease Type V),McArdle Disease Also called: Glycogen Storage Disease Type V or Myophosphorylase Deficiency,2015-02-20
2017-000494-36,Idorsia Pharmaceuticals Ltd,"A Phase 2a, multi-center, single-blind, within-subject, placebo-controlled study to assess the pharmacodynamics of ACT-709478 in subjects with photosensitive epilepsy",Photosensitive epilepsy,2017-07-26
2014-003503-29,AstraZeneca AB,"A 28-week, Multicenter, Randomized, Double-Blind, Active-Controlled, Phase 3 Study with a 24-week Extension Phase Followed by a 52-week Extension Phase to Evaluate the Efficacy and Safety of Simult...",Diabetes Mellitus,2014-12-16
2014-004909-33,Manchester University NHS Foundation Trust,Thrombin Inhibition Preoperatively in Early Breast Cancer,Breast Cancer,2015-09-21
2015-005406-11,Astrazeneca AB,"A Multi-Center, Randomized, Double-Blind, Active-Controlled, Parallel Group, Phase III Trial to Evaluate the Safety and Efficacy of Saxagliptin 5mg Co-administered with Dapagliflozin 5mg compared t...","Type 2 diabetes mellitus, inadequate glycaemic control",2016-05-25
2014-005095-28,ISTITUTO SCIENTIFICO ROMAGNOLO PER LO STUDIO E LA CURA DEI TUMORI (IRST) S.R.L. IRCCS,Olaparib as salvage treatment for cisplatin-resistant germ cell tumor.,cisplatin-resistant germ cell tumor,2015-04-16
2013-005543-90,Amgen Inc,"A Randomized, Double-Blind Study to Compare Pharmacokinetics and Pharmacodynamics, Efficacy and Safety of ABP 798 With Rituximab in Subjects With Moderate to Severe Rheumatoid Arthritis",Rheumatoid arthritis,2014-08-26
2016-000376-26,Ziarco Pharma Ltd,"A Randomised, Adaptive Design, Double-Blind (3rd Party Open), Placebo Controlled, Sequential Group Study to Determine the Safety, Tolerability, Pharmacokinetics and Efficacy of Twice Daily Applica...",Atopic Dermatitis,2016-05-09
2017-002449-31,Zealand Pharma A/S,"A phase 3, randomized, double-blind, parallel trial to confirm the clinical efficacy and safety of dasiglucagon in the rescue treatment of hypoglycemia in subjects with type 1 diabetes mellitus (T1...",Type 1 diabetes mellitus,2018-02-16
2020-001109-22,"Passage Bio, Inc.","A Phase 1/2 Open-Label, Multicenter, Dose Ranging and Confirmatory Study to Assess the Safety, Tolerability and Efficacy of a Single Dose of PBGM01 Delivered into the Cisterna Magna of Pediatric Su...","GM1 gangliosidosis (GM1) is an autosomal recessive disorder that results from mutations in the human galactosidase beta 1 gene (GLB1), which encodes beta-galactosidase (β-gal).",Information not available in EudraCT
2015-005674-37,Eli Lilly and Company,"An Open-label, LonG-term, Safety Study of LAsmiDItan (100 mg and 200 mg) in the Acute Treatment Of MigRaine (GLADIATOR)",acute migraine,2016-11-01
